term,definition,long_definition,vernacular_definition,note,example
alot,1. tough (of meat) 2. difficult,1. tough (of meat) 2. difficult,,,Daging ini sangat ALOT sehingga susah di kunyah
alpa,"neglectful, inattentive","neglectful, inattentive. *MENG--KAN: neglect. *KE--AN: 1.shortcoming, omission. 2. neglect.",,,Dia ALPA akan kewajibannya
alpukat,avocado,avocado,,,
Al-Quran,the Koran.,the Koran.,Kitab pedoman bagi umat Islam.,,
ALRI,"""Angkatan Laut Republik Indonesia,"" the Indonesian Navy.","acronym for ""Angkatan Laut Republik Indonesia,"" the Indonesian Navy.",,,
altar,altar,altar,,,Pengantin perempuan itu digandeng oleh ayahnya menuju ke ALTAR
alternatif,alternative.,alternative.,Pilihan dari beberapa kemungkinan.,,
altruis,altruist,altruist,,,
alu,large pestal for pounding rice.,large pestal for pounding rice.,Suatu benda yang berbentuk bulat panjang biasa digunakan sebagai alat penumbuk padi.,,Lesung dan ALU ini sudah tidak bisa lagi dipakai.
alun,"wave, swell","BER--(2): 1. heave, roll, pitch, billow up. 2. be in steady movement. MENG--: 1. pitch, heave. 2. be in steady, rhythmic movement. MENG--KAN: put s.t. in steady motion. --AN: 1. wave (in air). 2. strains (music)",,,Irama napasnya ~ naik turun dengan rata
alun-alun,town square.,town square.,Lapangan; tanah yang luas di muka istana atau kantor-kantor pemerintahan.,,Semua orang pergi ke ALUN-ALUN untuk melihat pawai.
amal,"1. deed, work. 2. good deed, charity. Also MENG--BAKTIKAN, BER-, MENG--KAN, +","1. deed, work. 2. good deed, charity. MENG--BAKTIKAN: put to charitable use. BER-: 1. be charitable, generous. 2. pray silently. MENG--KAN: 1. put into practice, apply. 2. do s.t. regularly. 3. carry out with devotion. -AN: good deeds, good works, regular practice. PENG--AN: doing of good deeds, sincerity in doing s.t.",,,Tindakannya merupakan AMALAN yang benar.
aman,"peaceful, calm; safe, secure. Also MENG--KAN, KE--AN, PENG-,+","^*1 peaceful, calm. 2 safe, secure. *MENG--KAN: 1 pacify, render safe. 2 place in protective custody, hold in custody. *KE--AN: 1 safety, security. 2 peacefulness, tranquillity. PENG-: 1 safe-guard. 2 pacifier, peacemaker, conciliator. PENG--AN: 1 (Mil.) pacification. 2 efforts to achieve security.",1. Tidak ada bahaya. 2. Tidak merasa takut; tenteram; sentosa.,,Apakah kamu sudah memasang sabuk PENGAMAN?
amanah,null,"BER--: instruct, issue an order. MENG--I: deliver a speech, give advice. MENG--KAN: 1. entrust, commit. 2. instruct, order. 3. delicate, set aside.",,,see amanat
amanat,,"BER--: instruct, issue an order. MENG--I: deliver a speech, give advice. MENG--KAN: 1. entrust, commit. 2. instruct, order. 3. delicate, set aside.",,,see amanah
amarah,anger.,anger.,marah; berang; gusar.,,"Jangan kau perturutkan AMARAHmu, tidak baik bagi kesehatan."
amat,"see AMAT1 (very, exceedingly . . .) or AMAT2 (watch closely . . .).","see AMAT1 (very, exceedingly . . .) AMAT2 (watch closely . . .).",,,
amat,"very, exceedingly.","*very, exceedingly.",sangat,,who was VERY heroic and brave.
amat,"MENG-_-_-I: watch closely, keep track of; inspect; monitor. Also PENG-, +","^MENG-_-_-I: 1 watch closely, keep track of. 2 inspect. 3 monitor. PENG-: observer. PENG--AN: observation, supervision, monitoring.",Melihat secara teliti.,,PENGAMATANNYA sangat cermat.
ambang,"1. threshold, sill; 2. see AMBANG 2","threshold, sill",,,Tingkat polusi di kota sudah melampaui AMBANG yang wajar
ambang,"threshold, sill","1. ~ jendela : windowsill, ~ pintu : doorstep, ~ sungai : bar, shoal, bank. 2. railroad tie.",,,
ambang,float,*MENG-- : float *KURS -- : [Fin.] floating rate,,,Ikan mati itu MENGAMBANG di laut
ambang,float,1. kurs ~ (Fin): floating rate. MENG--KAN: float s.t. PENG--AN: floating (of currency),,,Anak itu ~ perahunya di sungai
ambil,"take. MENG--KAN: get or fetch for s.o. Also BER-_-_-AN, MENG--I, -AN, +","(see also AMBIL ALIH) ^take. BER-_-_-AN: give and take. *MENG--I: keep taking. *MENG--KAN: get or fetch for s.o. -AN: the take, the receipts. PENG-: taker. *PENG--AN: 1 removal, withdrawal. 2 the taking of, making of (a decision). 3 interpretation, understanding.",sinonim: pungut.,,PENGAMBILAN keputusan yang penting harus dilakukan bersama.
ambisi,ambition.,ambition.,*Keinginan besar untuk menjadi/melakukan/memperoleh sesuatu.,,"Hanya satu AMBISInya, yaitu menjadi guru."
amboi,hey! als!,hey! als!,Kata seru untuk rasa kagum/heran.,,AMBOI!...cantik nian gadis itu.
Ambon,"capital city of the Province of Maluku (Moluccas) , Indonesia.",capital city of the Province of Maluku in Indonesia.,Ibukota dari provinsi Maluku.,,Nyanyian itu berasal dari daerah AMBON.
ambruk,"collapse, fall down.","collapse, fall down.",roboh; jatuh.,,Gedung itu AMBRUK karena konstruksi yang buruk.
ambulans,ambulance.,ambulance.,,,
amdal,"AMDAL is an acronym for ""Analisa Mengenai Dampak Lingkungan"" or the environmental impact analysis",acronym for analisa mengenai dampak lingkungan = the environmental impact analysis,,,Pemerintah mengeluarkan peraturan mengenai AMDAL
amit-amit,God forbid!,an exclamation mark; God forbid!,ungkapan ketidak-sukaan atas sesuatu,,"Mudah-mudahan saya tidak bertemu dengan orang seperti itu, AMIT-AMIT!"
ampas,"waste, dregs.","^*waste, dregs, what is left after the essence has been taken.",Sisa barang yang sudah diambil sarinya.,,AMPAS tebu itu tidak manis lagi rasanya.
ampek,have difficulty breathing,"have difficulty breathing, asthma",,,
ampela,chicken gizzard,chicken gizzard.,,,Ibu pandai memasak tumis AMPELA
Ampera,the Messages of the People's Suffering,Ampera is the abreviation of Amanat Penderitaan Rakyat or the Messages of the People's Suffering,,,Presiden Sukarno menggunakan AMANAT PENDERITAAN RAKYAT sebagai slogan politik
ampera,"see ampera1, see ampera2","see ampera1, see ampera2",,,
ampera,inexpensive,inexpensive,,,Perusahaan Garuda Airways memberi harga AMPERA untuk mahasiswa yang mau berlibur ke Indonesia
ampiran,(Jv.) stopping-off place,(Jv.) stopping-off place,,,
amplas,amplas1= fig tree amplas2= sandpaper,amplas1 = fig tree amplas2 = *sandpaper MENG~(I)= 1. scour 2. sandpaper,,,*Tukang kayu menggunakan AMPLAS untuk menghaluskan papan
amplop,envelope. BER-: within an envelope.,envelope. BER-: within an envelope.,"Kertas berlipat dengan ruangan di dalamnya untuk tempat surat, uang, dll.",,Undangan khusus untuk Pak Gubernur BERAMPLOP kuning.
ampu,support,"*MENG~= support, prop up MENG~KAN= rule, reign over PENG~= support, means of support PENG~AN= guardianship",,,*Presiden Habibie MENGAMPU pemisahan Timor Timur dari Indonesia
ampuh,"see ampuh1, see ampuh2",see ampuh1 see ampuh2,,,
ampuh,"endowed with magical power, potent, effective (of medicine)","1. endowed with magical power *2. potent, effective (of medicine) KE~AN= 1. magical power 2. potency",,,*Obat ini sangat AMPUH dalam menyembuhkan beberapa macam jenis penyakit perut
ampuh,"flood, overflow, inundation","flood, overflow, inundation MENG~(KAN)= flood, inundate KE~AN= flooded, inundated",,,
ampun,mercy. MENG--I: forgive.,mercy. MENG--I: forgive.,Permintaan maaf karena telah melakukan kesalahan; maaf.,,Tidak ada AMPUN lagi bagimu kali ini.
amput,"(Jv, Vulg.) MENG~= have sexual intercourse.",MENG~= have sexual intercourse *~AN= 1. female genitalia 2. mistress,,,"*Lady Di membenci AMPUTAN suaminya, Camila Parker"
amputasi,amputation,amputation *MENG~= amputate,,,Ahmad's left foot was AMPUTATED three years ago.
amril,"sandpaper, emery board or paper","1. sandpaper 2. emery board or paper MENG~= sand, file",,,
amuk,"BER-, MENG-: go beserk; rage violently. Also MENG--KAN, -AN, PENG-,+","^*BER-, MENG-: 1 go berserk, run amuck. 2 rage violently. *MENG--KAN: (Lit.) incite to violence, provoke. *-AN: 1 fight. 2 uncontrolled raging. PENG-: o. who runs amuck. PENG--AN: running amuck, fury, raging. PER--AN: fury, conflict.",1.Menyerang dengan membabi buta (marah sekali). 2.Menghebat/menjadi-jadi.,,AMUKAN kerbau yang sedang terluka sangat berbahaya.
anai-anai,"white ant, termite","^white ant, termite",,,"Sehabis panen, banyak ANAI-ANAI memakan bulir padi yang tertinggal"
anak,"a child, offspring, or descendent; a small version of. Also MEMPER--KAN,+","a child or offspring or descendant; a small version of. ^MEMPER--KAN: 1 bear, bive birth to. 2 treat as o.'s own child. MEMPER-_-_-KAN: treat like a little child. KE-_-_-AN: childish, child-like. _-_-AN: doll. PER--AN: 1 of mixed ethnic origins (Eurasian or Chinese with some Indonesian ancestry). 2 uterus, womb. 3 hybrid (of cattle). *--BUAH: dependents, sub, smaller variant of, crew, staff members, loyal subjects, followers.",1.Orang yang masih kecil. 2.Orang yang belum dewasa. 3.Orang yang berumur sekitar 0-10 tahun. 4.Anak keturunan orang tua.,,ANAK-ANAKAN yang dijual di toko itu bisa menangis.
analisa,analysis.,analysis.,Proses pemecahan suatu masalah dengan adanya dugaan akan kebenarannya.,,Saya pikir ANALISAnya yang kurang tajam.
ancam,"threaten. TER-: threatened, in danger. -AN: threat.","threaten. TER-: threatened, in danger. -AN: threat.",Penyampaian tanda akan suatu maksud yang buruk.,,ANCAMAN itu datang dari sepupunya sendiri.
ancaman,threat; see also ANCAM,threat; see also ANCAM,,,
anda,"you, your.","you, your.",kamu; engkau.,,Dimanakah rumah ANDA?
andai,if. -PUN: supposing that. SE--NYA: supposing or suppose that. Also BER-+,"^if -PUN: supposing that. _-_: suppostition. *SE-(NYA), -NYA: supposing or suppose that. BER-: suppose. *BER_-_: suppose that s.t. might happen, talk hypothetically. *-KAN: assuming MENG--KAN: suppose, assume. *PENG--AN: suppostion, assumption. PER--AN: assumption.",Misal; umpama.,,PENGANDAIANNYA tentang bulan dan bintang tidak masuk diakal.
andaikata,"supposing that, if.","supposing that, if.",seandainya; andaikan.,,"SEANDAINYA aku bisa terbang, aku akan berumah di awan."
andal,MENG-KAN: rely on; also -AN: mainstay,*MENG-KAN: rely on; also -AN: mainstay,,,Negara-negara OPEC MENGANDALKAN pendapatannya dari minyak bumi
andil,[fin.] share; contribution,1. share; 2. contribution,saham; sumbangan; peranan; bantuan,,*Dia mempunyai ANDIL yang besar dalam menyelesaikan perselisihan itu
andong,four-wheeled carriage drawn by two horses common in central Java.,four-wheeled carriage drawn by two horses common in central Java.,"Kereta beroda empat yang biasanya ditarik oleh kuda terdapat di DIY, Jawa Tengah, dan daerah sekitarnya.",,kami naik ANDONG ke pasar.
aneh,"strange, queer, peculiar. -NYA: the strange thing is. Also MENG--KAN, KE--AN,+","^*strange, queer, peculiar. *-NYA: the strange thing is. *MENG--KAN: 1 make o. consider s.t. strange. 2 be surprising. *KE--AN: 1 oddity, peculiarity. 2 idiosyncrasy. _-_-AN: 1 oddity.",Tidak biasa; ajaib; ganjil.,,Mengapa kau mau MENGANEHKAN kataku ini?
aneka,"various, diverse, all sorts of. Also KE--RAGAMAN, BER-, KE--WARNAAN, MENG--KAN+","^various, diverse, all sorts of. KE--RAGAMAN: variety, diversity. BER-: variegated, mixed. KE--WARNAAN: variety. MENG--KAN: vary, make diverse. KE--AN: variety.",macam; berbagai.,,Dengan MENGANEKAKAN warna amplop itu kita bisa membedakan isinya.
angan,"1. thought, notion, idea. 2. fantasy, illusion. BER-: fantasize, dream. +","^1. thought, notion, idea. 2. fantasy, illusion. BER-: 1. dream, fantasize. 2. aim, have ideals. MENG-(-KAN): 1. recall, contemplate. 2. imagine. TER-: thought, intended. -AN: idea, notion.",pikiran; ingatan.,,Ini hanya ANGANAN sepintas saja.
anggap,"BER--AN: be of the opinion; have an impression. Also MENG-, -AN.","^*BER--AN: 1 be of the opinion. 2 have an impression *MENG-: regard as, consider, deem. *-AN: 1 opinion, belief. 2 judgment. 3 suspicion, hunch, impression.",Memandang sebagai....; berpendapat bahwa.....,,"Menurut ANGGAPAN umum, hal itu tidak benar. "
anggar,"MENG-: estimate, calculate. MENG--KAN: draw up a budget. -AN: estimate. +","MENG-: estimate, calculate. MENG--KAN: draw up a budget. -AN: estimate, budget. PENG--AN: budgeting.","Perkiraan suatu rencana belanja/pembangunan, dll.",,Pemerintah sudah MENGANGGARKAN lebih dari tiga milyar rupiah untuk pembangunan jalan ini.
anggota,"member (of an organization); body part, limb; part, component. Also BER-,+","^*1 member (of an organization). 2 body part, limb. 3 part, component. BER-: have as member. *BER--KAN: be composed of, have as members. *KE--AN: membership.",1. Bagian dari tubuh (biasanya tangan dan kaki). 2. Orang yang masuk dalam satu golongan/organisasi.,,KEANGGOTAAN Dewan Perwakilan Rakyat sangat terbatas.
anggrek,orchid.,orchid.,,,
angguk,a nod. MENG-: to nod. MENGANGGUK-ANGGUKKAN=to no several times.,a nod. MENG-: to nod. MENGANGGUK-ANGGUKKAN = to nod several times.,Menggerakkan kepala ke depan; tanda persetujuan.,,Kepalanya MENGANGGUK walau hatinya bilang tidak.
anggun,"neat, handsome, elegant",*KE--AN: elegance,cantik mempesona,,Maria kelihatan sangat ANGGUN dengan baju kebayanya
anggur,"be unemployed, idle; cutting from a plant; grape, wine. Also (ME)NG-, PENG-,+","^ANGGUR1=to be unemployed, idle. (see also NGANGGUR) *(ME)NG-: (same as NGANGGUR). NGANGGUR: to be temporarily unoccupied. *PENG-: unemployed person. *PENG--AN: unemployment, joblessness. ^ANGGUR2=slip, cutting of plants. MENG-: 1 prepare cutting of planting. 2 transplant, plant with a slip. ^*ANGGUR3=1 grape. 2 wine.",1. Tidak melakukan ada-apa. 2a. Minuman yang dibuat dari buah anggur. b. Tumbuhan/tanaman; buah.,,Buah ANGGUR yang dikeringkan disebut kismis.
angin,"wind; air; rumor. BER-: windy; have wind circulating. Also BER-_-_, MENG-,+","^*1 wind. 2 air. 3 rumor. *BER-: 1 windy. 2 have wind circulating. BER-_-_: get some fresh air. MENG-: 1 become wind, disappear. 2 blow (of wind). *MENG--I: to supply with air. *MENG-_-_-KAN: 1 air, aerate, expose to the air. MEMPER--KAN: air, aerate. TER-: perceptible, noticeable. TER-_-_: spread (of news, rumors, etc.). *_-_-AN: blow hot and cold, fickle, be capricious. PENG-_-_-AN: aeration, airing. PER--AN: 1 ventilation. 2 balcony.",Hawa/udara yang bergerak.,,"Pendapatmu selalu ANGIN-ANGINAN, tidak pernah pasti."
angka,"figure, numeral; rate; mark, grade. Also ANGKA-ANGKA, MENG--KAN,+","^*1 figure, numeral, digit. 2 rate. 3 mark, grade. ANGKA-ANGKA: 1 number. 2 statistics, figures. MENG--KAN: 1 mark, grade (exams, etc.). 2 mark, number. MEMPER--KAN: treat as numbers. PENG--AN: numbering. PER--AN: statistics.",1. Tanda pengganti bilangan; nomor. 2. Nilai.,,Berapa ANGKA yang kau dapat dalam matematika?
angkasa,"sky, heaven, atmosphere, outer space. Also MENG-, MENG--KAN.","^1. sky, heaven. 2. atmosphere, outer space. MENG-: 1. be airborne, take off. 2. come to the fore. MENG--KAN: develop to the fullest.",Langit; awang-awang; lapisan udara di atas bumi; dll.,,Pesawat percobaan itu akan MENGANGKASA bulan depan.
angkat,"lift, raise; take away; begin to do s.t. BER-: depart. Also BER--NYA, +","^*1 lift, raise. 2 take away, remove. 3 begin to do s.t. *BER-: leave, depart, set out. BER--NYA: departure, leaving. *MEMBER--KAN: dispatch, send. *KEBER--AN: departure. PEMBER--AN: sending off, dispatch. *MENG-: 1 lift (up), raise. 2appoint, designate. 3 promote. 4 remove, take away. 5 take up. 6 adopt (a child), adapt (written material). 7 nab, pick up. MENG-_-_: praise. MENG--I: remove (many things). MENG--KAN: 1 lift up, raise. 2 roll up (o.'s sleeves). 3 dispatched. TER-: 1 able to be picked up. 2 unintentionally lifted up. *-AN: 1 branch of armed forces. 2 generation, age group, class. PENG-: 1 support. 2 instrument for lifting. 3 lifter, o. who lifts. PENG--AN: 1 appointment. 2 adoption (of child). 3 elevation. PER-: sets of equipment. SEPER-(-AN): a set of s.t.",Menaikkan; membawa keatas.,,Banyak pegawai ANGKATAN tahun 1945 yang sudah pensiun.
